origin,destination,time,dest_alt1,dest_alt2,dest_alt3,value
4,5,44619.48759865389,999999,8,0,1
8,0,44619.48759865389,999999,4,6,1
1,4,44621.10254816032,999999,6,2,1
4,2,44624.50563375531,5,999999,5,1
4,2,44624.50563375531,8,999999,2,1
5,1,44624.50563375531,999999,6,1,1
6,2,44625.74240441819,0,999999,3,1
8,8,44625.74240441819,6,999999,6,1
5,8,44628.8939402212,0,999999,6,1
5,2,44645.12010157477,999999,5,5,1
8,7,44645.12010157477,5,999999,6,1
4,2,44649.90443229205,6,999999,0,1
5,0,44649.90443229205,999999,6,6,1
5,1,44652.81998594694,1,999999,6,1
6,1,44652.81998594694,6,8,999999,1
5,2,44654.095321782435,999999,3,5,1
5,5,44654.43289185191,4,1,999999,1
5,5,44656.578613881255,999999,0,1,1
5,5,44658.84226216843,6,999999,3,1
5,5,44658.84226216843,999999,4,6,1
6,7,44658.84226216843,999999,6,5,1
1,3,44661.92839749642,5,999999,6,1
5,1,44661.92839749642,999999,0,8,1
6,0,44664.57704347072,1,999999,5,1
1,0,44672.78134759387,999999,4,3,1
6,2,44672.78134759387,999999,8,6,1
6,6,44672.78134759387,999999,3,5,1
5,2,44676.72269329957,1,999999,4,1
5,5,44676.72269329957,8,999999,0,1
6,5,44676.72269329957,6,999999,7,1
5,3,44678.688379095496,6,999999,1,1
6,1,44678.688379095496,999999,5,0,1
8,8,44690.96673416514,8,999999,0,1
5,3,44701.56640468375,999999,0,5,1
5,5,44711.78039672111,999999,6,4,1
5,4,44717.49133615327,999999,5,1,1
5,1,44719.61219386236,999999,5,4,1
5,5,44719.61219386236,999999,0,2,1
6,1,44719.61219386236,0,999999,3,1
6,1,44719.61219386236,6,999999,1,1
2,6,44727.552437482846,999999,3,7,1
5,1,44728.83619846633,999999,6,3,1
5,4,44732.4860870506,999999,4,4,1
5,8,44732.4860870506,2,999999,4,1
1,2,44735.008773469584,999999,3,5,1
4,2,44735.008773469584,999999,5,2,1
6,0,44735.008773469584,999999,3,3,1
5,6,44738.80979288972,1,999999,2,1
5,2,44739.65593532978,999999,5,6,1
1,8,44744.823646536825,999999,2,6,1
5,3,44744.823646536825,999999,8,8,1
6,0,44744.823646536825,6,999999,6,1
6,6,44746.3358733335,999999,1,8,1
6,2,44748.61254858651,999999,5,6,1
5,2,44750.333140930314,1,999999,0,1
6,0,44752.04873718686,6,2,999999,1
5,7,44753.36402877078,999999,5,0,1
6,5,44757.93546306736,999999,1,2,1
6,4,44758.9240148383,999999,4,1,1
5,1,44759.5361121817,0,4,6,1
5,2,44759.5361121817,999999,6,0,1
1,6,44761.83998793161,999999,2,4,1
1,3,44763.71808104017,999999,3,4,1
6,1,44763.71808104017,5,999999,2,1
6,2,44769.51054118154,999999,2,8,1
5,1,44779.68047434746,2,999999,3,1
5,5,44779.68047434746,999999,8,8,1
5,1,44792.52657554731,999999,5,5,1
5,8,44792.52657554731,999999,1,5,1
4,2,44798.395324067336,999999,1,6,1
1,7,44808.54908737891,999999,0,5,1
5,7,44808.54908737891,3,999999,6,1
6,5,44812.8279514164,999999,4,5,1
5,1,44813.347152472415,999999,8,5,1
5,4,44815.85898526179,0,0,999999,1
2,2,44824.11274345858,999999,1,6,1
5,5,44824.11274345858,8,999999,6,1
5,2,44825.320287771836,999999,8,6,1
6,6,44830.07648935943,999999,3,1,1
2,4,44830.49058792838,999999,2,1,1
4,5,44830.49058792838,1,999999,6,1
6,2,44830.49058792838,999999,6,2,1
6,3,44830.49058792838,5,999999,1,1
4,7,44834.85961325408,999999,0,2,1
6,3,44834.85961325408,999999,1,999999,1
6,6,44834.85961325408,5,999999,6,1
5,4,44838.855043578835,999999,6,6,1
5,2,44840.420246140726,999999,6,8,1
6,4,44840.420246140726,999999,2,0,1
6,5,44840.420246140726,3,999999,5,1
5,6,44840.702927986014,999999,8,5,1
8,3,44840.702927986014,5,0,999999,1
2,1,44849.695216399174,0,6,999999,1
5,0,44849.695216399174,8,5,3,1
6,0,44849.695216399174,999999,6,3,1
5,4,44852.51585570937,999999,3,6,1
5,6,44852.51585570937,999999,6,3,1
6,6,44854.30325269761,999999,5,4,1
8,8,44858.20224616686,999999,5,5,1
